event_title,speaker,category,description ,venue
Formula 1 Grand Prix 2024,Bruce Schneier,Literature/Global,"A global event focused on Fintech trends, challenges, and innovations.","Marina Bay Sands, Singapore"
Climate Change Summit 2024,Reed Hastings,Film/Entertainment,"A global event focused on Environmental trends, challenges, and innovations.","Austin Convention Center, USA"
Machine Learning Summit 2024,Satya Nadella,Sports/Entertainment,"A global event focused on Film trends, challenges, and innovations.","Palais Brongniart, Paris, France"
Climate Change Summit 2024,Sundar Pichai,Economic/Global,"A global event focused on Sports trends, challenges, and innovations.","Tokyo Big Sight, Japan"
AWS re:Invent 2024,Reed Hastings,Robotics/Technology,"A global event focused on Art trends, challenges, and innovations.","Moscone Center, San Francisco, USA"
Formula 1 Grand Prix 2024,Jehan Ara,Technology/Innovation,"A global event focused on Robotics trends, challenges, and innovations.","Austin Convention Center, USA"
Adobe MAX 2024,Mark Zuckerberg,Music/Entertainment,"A global event focused on Gaming trends, challenges, and innovations.","Dubai World Trade Centre, UAE"
CES 2024,Susan Wojcicki,Startup/Technology,"A global event focused on Fashion trends, challenges, and innovations.","Shoreline Amphitheatre, Mountain View, USA"
GitHub Universe 2024,Jehan Ara,Sports/Entertainment,"A global event focused on Health trends, challenges, and innovations.","Expo Center, Karachi, Pakistan"
SXSW Music Festival 2024,Jack Dorsey,Environmental/Sustainability,"A global event focused on Startup trends, challenges, and innovations.","Dubai World Trade Centre, UAE"
DEF CON 2024,Dr. Tedros Adhanom,Art/Culture,"A global event focused on Music trends, challenges, and innovations.","Altice Arena, Lisbon, Portugal"
AI Expo Global 2024,Ginni Rometty,Gaming/Entertainment,"A global event focused on Robotics trends, challenges, and innovations.","Dubai World Trade Centre, UAE"
CES 2024,Andy Jassy,Literature/Global,"A global event focused on Fintech trends, challenges, and innovations.","Altice Arena, Lisbon, Portugal"
The Next Web 2024,Bill Gates,Film/Entertainment,"A global event focused on AI trends, challenges, and innovations.","Tokyo Big Sight, Japan"
Machine Learning Summit 2024,Meg Whitman,Literature/Global,"A global event focused on Fashion trends, challenges, and innovations.","Moscone Center, San Francisco, USA"
eCommerce Expo 2024,Jack Dorsey,Robotics/Technology,"A global event focused on Cybersecurity trends, challenges, and innovations.","Expo Center, Karachi, Pakistan"
Climate Change Summit 2024,Jack Dorsey,Economic/Global,"A global event focused on AI trends, challenges, and innovations.","Marina Bay Sands, Singapore"
Google I/O 2024,Satya Nadella,Technology/Innovation,"A global event focused on Space trends, challenges, and innovations.","Altice Arena, Lisbon, Portugal"
Blockchain Expo 2024,Bill Gates,Technology/Innovation,"A global event focused on Startup trends, challenges, and innovations.","UN Headquarters, New York, USA"
Mobile World Congress 2024,Tim Berners-Lee,Film/Entertainment,"A global event focused on Health trends, challenges, and innovations.","Moscone Center, San Francisco, USA"
TechEd Europe 2024,Susan Wojcicki,Art/Culture,"A global event focused on Space trends, challenges, and innovations.","Altice Arena, Lisbon, Portugal"
Re:Mars 2024,Sheryl Sandberg,Startup/Technology,"A global event focused on Robotics trends, challenges, and innovations.","Circuit de Monaco, Monte Carlo"
DreamHack 2024,Mark Zuckerberg,Startup/Technology,"A global event focused on Literature trends, challenges, and innovations.","UN Headquarters, New York, USA"
London Book Fair 2024,Elon Musk,Literature/Global,"A global event focused on Fintech trends, challenges, and innovations.","Marina Bay Sands, Singapore"
AWS re:Invent 2024,Sheryl Sandberg,Economic/Global,"A global event focused on Technology trends, challenges, and innovations.","Paris Las Vegas, USA"
Adobe MAX 2024,Cristiano Amon,Technology/Innovation,"A global event focused on Economic trends, challenges, and innovations.","Circuit de Monaco, Monte Carlo"
Digital Health Summit 2024,Marissa Mayer,Environmental/Sustainability,"A global event focused on Sports trends, challenges, and innovations.","ESA HQ, Paris, France"
Re:Mars 2024,Jehan Ara,Space/Technology,"A global event focused on Sports trends, challenges, and innovations.","Moscone Center, San Francisco, USA"
Black Hat 2024,Susan Wojcicki,Music/Entertainment,"A global event focused on Health trends, challenges, and innovations.","Palais Brongniart, Paris, France"
GitHub Universe 2024,Tim Berners-Lee,AI/Technology,"A global event focused on Film trends, challenges, and innovations.","Olympia, London, UK"
The Next Web 2024,Dr. Tedros Adhanom,Literature/Global,"A global event focused on Economic trends, challenges, and innovations.","Messe Basel, Switzerland"
Blockchain Expo 2024,Sheryl Sandberg,Gaming/Entertainment,"A global event focused on Robotics trends, challenges, and innovations.","Moscone Center, San Francisco, USA"
AWS re:Invent 2024,Sheryl Sandberg,Technology/Innovation,"A global event focused on Cybersecurity trends, challenges, and innovations.","ESA HQ, Paris, France"
Open Source Summit 2024,Marissa Mayer,Robotics/Technology,"A global event focused on Gaming trends, challenges, and innovations.","Dubai World Trade Centre, UAE"
AWS re:Invent 2024,Reed Hastings,AI/Technology,"A global event focused on Startup trends, challenges, and innovations.","Expo Center, Karachi, Pakistan"
Tokyo Game Show 2024,Reed Hastings,Fintech/Technology,"A global event focused on Space trends, challenges, and innovations.","Expo Center, Karachi, Pakistan"
DreamHack 2024,Jehan Ara,Cybersecurity/Hacking,"A global event focused on AI trends, challenges, and innovations.","Messe Basel, Switzerland"
Google I/O 2024,Greta Thunberg,Cybersecurity/Hacking,"A global event focused on Robotics trends, challenges, and innovations.","Marina Bay Sands, Singapore"
Cannes Film Festival 2024,Jack Dorsey,Gaming/Entertainment,"A global event focused on Economic trends, challenges, and innovations.","Expo Center, Karachi, Pakistan"
TechCrunch Disrupt 2024,Meg Whitman,Fintech/Technology,"A global event focused on Cybersecurity trends, challenges, and innovations.","Shoreline Amphitheatre, Mountain View, USA"
DjangoCon 2024,Marc Benioff,Fintech/Technology,"A global event focused on Music trends, challenges, and innovations.","Olympia, London, UK"
RSA Conference 2024,Meg Whitman,Environmental/Sustainability,"A global event focused on Fintech trends, challenges, and innovations.","Shoreline Amphitheatre, Mountain View, USA"
SaaStr Annual 2024,Reed Hastings,Technology/Innovation,"A global event focused on Fintech trends, challenges, and innovations.","Circuit de Monaco, Monte Carlo"
Machine Learning Summit 2024,Tim Berners-Lee,Literature/Global,"A global event focused on AI trends, challenges, and innovations.","Paris Las Vegas, USA"
RSA Conference 2024,Bruce Schneier,Film/Entertainment,"A global event focused on Sports trends, challenges, and innovations.","Moscone Center, San Francisco, USA"
Adobe MAX 2024,Larry Page,Economic/Global,"A global event focused on AI trends, challenges, and innovations.","Altice Arena, Lisbon, Portugal"
Climate Change Summit 2024,Meg Whitman,Art/Culture,"A global event focused on Film trends, challenges, and innovations.","Davos, Switzerland"
Apple WWDC 2024,Jack Dorsey,Environmental/Sustainability,"A global event focused on Environmental trends, challenges, and innovations.","Davos, Switzerland"
DreamHack 2024,Sergey Brin,Health/Medical,"A global event focused on Music trends, challenges, and innovations.","Fira Gran Via, Barcelona, Spain"
Google I/O 2024,Ginni Rometty,Technology/Innovation,"A global event focused on Cybersecurity trends, challenges, and innovations.","Austin Convention Center, USA"
Open Source Summit 2024,Marc Benioff,Environmental/Sustainability,"A global event focused on Space trends, challenges, and innovations.","ESA HQ, Paris, France"
CES Asia 2024,Satya Nadella,Robotics/Technology,"A global event focused on Cybersecurity trends, challenges, and innovations.","Tokyo Big Sight, Japan"
World Robotics Championship 2024,Edward Snowden,Film/Entertainment,"A global event focused on Technology trends, challenges, and innovations.","ESA HQ, Paris, France"
The Next Web 2024,Tim Berners-Lee,Gaming/Entertainment,"A global event focused on Sports trends, challenges, and innovations.","Marina Bay Sands, Singapore"
The Next Web 2024,Andy Jassy,Technology/Innovation,"A global event focused on Gaming trends, challenges, and innovations.","Marina Bay Sands, Singapore"
SXSW Music Festival 2024,Susan Wojcicki,Environmental/Sustainability,"A global event focused on Startup trends, challenges, and innovations.","The Venetian, Las Vegas, USA"
TechEd Europe 2024,Marissa Mayer,Health/Medical,"A global event focused on Space trends, challenges, and innovations.","Expo Center, Lahore, Pakistan"
European Space Agency Conference 2024,Elon Musk,Cybersecurity/Hacking,"A global event focused on Sports trends, challenges, and innovations.","Circuit de Monaco, Monte Carlo"
Web Summit 2024,Greta Thunberg,Art/Culture,"A global event focused on Sports trends, challenges, and innovations.","ESA HQ, Paris, France"
DEF CON 2024,Larry Page,Fashion/Global,"A global event focused on Sports trends, challenges, and innovations.","Shoreline Amphitheatre, Mountain View, USA"
DjangoCon 2024,Marissa Mayer,Fintech/Technology,"A global event focused on Sports trends, challenges, and innovations.","Serena Hotel, Islamabad, Pakistan"
Black Hat 2024,Sundar Pichai,Cybersecurity/Hacking,"A global event focused on AI trends, challenges, and innovations.","ESA HQ, Paris, France"
SXSW 2024,Sheryl Sandberg,Health/Medical,"A global event focused on Music trends, challenges, and innovations.","Dubai World Trade Centre, UAE"
Blockchain Expo 2024,Jehan Ara,Economic/Global,"A global event focused on Sports trends, challenges, and innovations.","Fira Gran Via, Barcelona, Spain"
RSA Conference 2024,Larry Page,Literature/Global,"A global event focused on Economic trends, challenges, and innovations.","Fira Gran Via, Barcelona, Spain"
E3 Expo 2024,Sergey Brin,Film/Entertainment,"A global event focused on Film trends, challenges, and innovations.","Davos, Switzerland"
SXSW Music Festival 2024,Tim Berners-Lee,Technology/Innovation,"A global event focused on Sports trends, challenges, and innovations.","Fira Gran Via, Barcelona, Spain"
Digital Transformation Week 2024,Elon Musk,Startup/Technology,"A global event focused on Environmental trends, challenges, and innovations.","UN Headquarters, New York, USA"
Cannes Film Festival 2024,Sheryl Sandberg,Gaming/Entertainment,"A global event focused on Technology trends, challenges, and innovations.","Tokyo Big Sight, Japan"
GITEX 2024,Meg Whitman,Robotics/Technology,"A global event focused on Film trends, challenges, and innovations.","Dubai World Trade Centre, UAE"
Mobile World Congress 2024,Elon Musk,Sports/Entertainment,"A global event focused on Fashion trends, challenges, and innovations.","UN Headquarters, New York, USA"
Microsoft Build 2024,Sheryl Sandberg,Art/Culture,"A global event focused on Health trends, challenges, and innovations.","UN Headquarters, New York, USA"
DEF CON 2024,Greta Thunberg,Fintech/Technology,"A global event focused on Health trends, challenges, and innovations.","ESA HQ, Paris, France"
Tokyo Game Show 2024,Satya Nadella,Art/Culture,"A global event focused on Technology trends, challenges, and innovations.","Serena Hotel, Islamabad, Pakistan"
Formula 1 Grand Prix 2024,Dr. Tedros Adhanom,Technology/Innovation,"A global event focused on Fintech trends, challenges, and innovations.","UN Headquarters, New York, USA"
Apple WWDC 2024,Greta Thunberg,AI/Technology,"A global event focused on Sports trends, challenges, and innovations.","Sydney Opera House, Australia"
Machine Learning Summit 2024,Marc Benioff,Fintech/Technology,"A global event focused on Technology trends, challenges, and innovations.","Sydney Opera House, Australia"
Open Source Summit 2024,Sundar Pichai,Art/Culture,"A global event focused on Startup trends, challenges, and innovations.","UN Headquarters, New York, USA"
AI Expo Global 2024,Bruce Schneier,Music/Entertainment,"A global event focused on Sports trends, challenges, and innovations.","Altice Arena, Lisbon, Portugal"
Web Summit 2024,Greta Thunberg,AI/Technology,"A global event focused on Economic trends, challenges, and innovations.","Tokyo Big Sight, Japan"
European Space Agency Conference 2024,Bruce Schneier,Environmental/Sustainability,"A global event focused on Startup trends, challenges, and innovations.","Davos, Switzerland"
London Book Fair 2024,Jehan Ara,Gaming/Entertainment,"A global event focused on AI trends, challenges, and innovations.","Expo Center, Karachi, Pakistan"
TEDx 2024,Meg Whitman,Sports/Entertainment,"A global event focused on Robotics trends, challenges, and innovations.","Sydney Opera House, Australia"
Google I/O 2024,Sheryl Sandberg,Technology/Innovation,"A global event focused on AI trends, challenges, and innovations.","Serena Hotel, Islamabad, Pakistan"
CES 2024,Meg Whitman,Fintech/Technology,"A global event focused on Fintech trends, challenges, and innovations.","Expo Center, Lahore, Pakistan"
London Book Fair 2024,Bill Gates,Cybersecurity/Hacking,"A global event focused on Technology trends, challenges, and innovations.","Shoreline Amphitheatre, Mountain View, USA"
TechCrunch Disrupt 2024,Mark Zuckerberg,Fintech/Technology,"A global event focused on Health trends, challenges, and innovations.","Circuit de Monaco, Monte Carlo"
Cannes Film Festival 2024,Bruce Schneier,AI/Technology,"A global event focused on Music trends, challenges, and innovations.","Circuit de Monaco, Monte Carlo"
SaaStr Annual 2024,Sergey Brin,Fintech/Technology,"A global event focused on Robotics trends, challenges, and innovations.","Fira Gran Via, Barcelona, Spain"
TechEd Europe 2024,Sheryl Sandberg,Literature/Global,"A global event focused on Health trends, challenges, and innovations.","The Venetian, Las Vegas, USA"
Web Summit 2024,Tim Berners-Lee,Fintech/Technology,"A global event focused on Space trends, challenges, and innovations.","Altice Arena, Lisbon, Portugal"
AWS re:Invent 2024,Larry Page,Health/Medical,"A global event focused on Fintech trends, challenges, and innovations.","UN Headquarters, New York, USA"
Python Conference 2024,Greta Thunberg,Music/Entertainment,"A global event focused on Health trends, challenges, and innovations.","Las Vegas Convention Center, USA"
Black Hat 2024,Elon Musk,Space/Technology,"A global event focused on Film trends, challenges, and innovations.","Circuit de Monaco, Monte Carlo"
Cisco Live 2024,Ginni Rometty,Cybersecurity/Hacking,"A global event focused on Startup trends, challenges, and innovations.","Fira Gran Via, Barcelona, Spain"
AWS re:Invent 2024,Larry Page,Sports/Entertainment,"A global event focused on Fashion trends, challenges, and innovations.","UN Headquarters, New York, USA"
Digital Health Summit 2024,Dr. Tedros Adhanom,Space/Technology,"A global event focused on Health trends, challenges, and innovations.","Expo Center, Karachi, Pakistan"
SXSW Music Festival 2024,Sundar Pichai,Health/Medical,"A global event focused on Fintech trends, challenges, and innovations.","Circuit de Monaco, Monte Carlo"
Google I/O 2024,Susan Wojcicki,Fashion/Global,"A global event focused on Sports trends, challenges, and innovations.","Messe Basel, Switzerland"
DjangoCon 2024,Elon Musk,Health/Medical,"A global event focused on Literature trends, challenges, and innovations.","UN Headquarters, New York, USA"
TechCrunch Disrupt 2024,Sergey Brin,Startup/Technology,"A global event focused on Technology trends, challenges, and innovations.","Altice Arena, Lisbon, Portugal"
Machine Learning Summit 2024,Edward Snowden,Robotics/Technology,"A global event focused on Fashion trends, challenges, and innovations.","ESA HQ, Paris, France"
Mobile World Congress 2024,Reed Hastings,Health/Medical,"A global event focused on Fashion trends, challenges, and innovations.","Sydney Opera House, Australia"
Mobile World Congress 2024,Mark Zuckerberg,Robotics/Technology,"A global event focused on Space trends, challenges, and innovations.","Messe Basel, Switzerland"
E3 Expo 2024,Satya Nadella,Literature/Global,"A global event focused on Environmental trends, challenges, and innovations.","Tokyo Big Sight, Japan"
Apple WWDC 2024,Marissa Mayer,Fintech/Technology,"A global event focused on Space trends, challenges, and innovations.","UN Headquarters, New York, USA"
The Next Web 2024,Dr. Tedros Adhanom,Art/Culture,"A global event focused on Environmental trends, challenges, and innovations.","Serena Hotel, Islamabad, Pakistan"
Google I/O 2024,Edward Snowden,Art/Culture,"A global event focused on AI trends, challenges, and innovations.","Serena Hotel, Islamabad, Pakistan"
Art Basel 2024,Elon Musk,Space/Technology,"A global event focused on Fintech trends, challenges, and innovations.","Palais Brongniart, Paris, France"
Formula 1 Grand Prix 2024,Elon Musk,Fashion/Global,"A global event focused on Film trends, challenges, and innovations.","Davos, Switzerland"
DjangoCon 2024,Susan Wojcicki,Fintech/Technology,"A global event focused on Cybersecurity trends, challenges, and innovations.","Serena Hotel, Islamabad, Pakistan"
E3 Expo 2024,Marissa Mayer,Economic/Global,"A global event focused on Literature trends, challenges, and innovations.","Moscone Center, San Francisco, USA"
E3 Expo 2024,Elon Musk,Fintech/Technology,"A global event focused on Economic trends, challenges, and innovations.","UN Headquarters, New York, USA"
Cisco Live 2024,Ginni Rometty,Health/Medical,"A global event focused on Startup trends, challenges, and innovations.","Davos, Switzerland"
World Economic Forum 2024,Tim Berners-Lee,Fashion/Global,"A global event focused on Robotics trends, challenges, and innovations.","Serena Hotel, Islamabad, Pakistan"
Tokyo Game Show 2024,Larry Page,Fintech/Technology,"A global event focused on Health trends, challenges, and innovations.","Expo Center, Lahore, Pakistan"
Cisco Live 2024,Cristiano Amon,Gaming/Entertainment,"A global event focused on Robotics trends, challenges, and innovations.","Expo Center, Karachi, Pakistan"
SaaStr Annual 2024,Meg Whitman,Art/Culture,"A global event focused on Film trends, challenges, and innovations.","Las Vegas Convention Center, USA"
DreamHack 2024,Marc Benioff,AI/Technology,"A global event focused on Sports trends, challenges, and innovations.","Expo Center, Lahore, Pakistan"
DjangoCon 2024,Larry Page,Robotics/Technology,"A global event focused on Sports trends, challenges, and innovations.","Shoreline Amphitheatre, Mountain View, USA"
TechCrunch Disrupt 2024,Meg Whitman,Sports/Entertainment,"A global event focused on Environmental trends, challenges, and innovations.","Circuit de Monaco, Monte Carlo"
Climate Change Summit 2024,Bill Gates,Space/Technology,"A global event focused on Startup trends, challenges, and innovations.","Circuit de Monaco, Monte Carlo"
DEF CON 2024,Greta Thunberg,Art/Culture,"A global event focused on Technology trends, challenges, and innovations.","Shoreline Amphitheatre, Mountain View, USA"
RSA Conference 2024,Dr. Tedros Adhanom,Sports/Entertainment,"A global event focused on Health trends, challenges, and innovations.","Shoreline Amphitheatre, Mountain View, USA"
GitHub Universe 2024,Marissa Mayer,Cybersecurity/Hacking,"A global event focused on Art trends, challenges, and innovations.","Las Vegas Convention Center, USA"
Blockchain Expo 2024,Marissa Mayer,Environmental/Sustainability,"A global event focused on Music trends, challenges, and innovations.","Palais Brongniart, Paris, France"
RSA Conference 2024,Sundar Pichai,AI/Technology,"A global event focused on Fintech trends, challenges, and innovations.","Las Vegas Convention Center, USA"
eCommerce Expo 2024,Sheryl Sandberg,Technology/Innovation,"A global event focused on Technology trends, challenges, and innovations.","Tokyo Big Sight, Japan"
Paris Fashion Week 2024,Bruce Schneier,AI/Technology,"A global event focused on Economic trends, challenges, and innovations.","ESA HQ, Paris, France"
Open Source Summit 2024,Jack Dorsey,Film/Entertainment,"A global event focused on Startup trends, challenges, and innovations.","Expo Center, Karachi, Pakistan"
SXSW 2024,Tim Berners-Lee,Health/Medical,"A global event focused on Technology trends, challenges, and innovations.","Expo Center, Karachi, Pakistan"
Formula 1 Grand Prix 2024,Larry Page,Startup/Technology,"A global event focused on Cybersecurity trends, challenges, and innovations.","Tokyo Big Sight, Japan"
E3 Expo 2024,Marissa Mayer,Cybersecurity/Hacking,"A global event focused on Fashion trends, challenges, and innovations.","UN Headquarters, New York, USA"
eCommerce Expo 2024,Andy Jassy,Environmental/Sustainability,"A global event focused on Robotics trends, challenges, and innovations.","Sydney Opera House, Australia"
Art Basel 2024,Cristiano Amon,Technology/Innovation,"A global event focused on Music trends, challenges, and innovations.","Expo Center, Lahore, Pakistan"
GITEX 2024,Nat Friedman,Economic/Global,"A global event focused on Sports trends, challenges, and innovations.","Shoreline Amphitheatre, Mountain View, USA"
Open Source Summit 2024,Greta Thunberg,Robotics/Technology,"A global event focused on Fashion trends, challenges, and innovations.","Expo Center, Lahore, Pakistan"
Fintech Asia 2024,Marc Benioff,Technology/Innovation,"A global event focused on Robotics trends, challenges, and innovations.","The Venetian, Las Vegas, USA"
The Next Web 2024,Cristiano Amon,Space/Technology,"A global event focused on Gaming trends, challenges, and innovations.","Circuit de Monaco, Monte Carlo"
AI Expo Global 2024,Sergey Brin,Cybersecurity/Hacking,"A global event focused on Economic trends, challenges, and innovations.","Messe Basel, Switzerland"
DEF CON 2024,Reed Hastings,Art/Culture,"A global event focused on Technology trends, challenges, and innovations.","Las Vegas Convention Center, USA"
Web Summit 2024,Satya Nadella,Technology/Innovation,"A global event focused on Fashion trends, challenges, and innovations.","Serena Hotel, Islamabad, Pakistan"
European Space Agency Conference 2024,Tim Berners-Lee,Space/Technology,"A global event focused on Cybersecurity trends, challenges, and innovations.","UN Headquarters, New York, USA"
Mobile World Congress 2024,Ginni Rometty,Fashion/Global,"A global event focused on Literature trends, challenges, and innovations.","Circuit de Monaco, Monte Carlo"
Cannes Film Festival 2024,Nat Friedman,Fashion/Global,"A global event focused on Cybersecurity trends, challenges, and innovations.","Circuit de Monaco, Monte Carlo"
Cisco Live 2024,Dr. Tedros Adhanom,Fintech/Technology,"A global event focused on Technology trends, challenges, and innovations.","Las Vegas Convention Center, USA"
The Next Web 2024,Ginni Rometty,Technology/Innovation,"A global event focused on Fashion trends, challenges, and innovations.","Fira Gran Via, Barcelona, Spain"
Web Summit 2024,Greta Thunberg,Robotics/Technology,"A global event focused on Film trends, challenges, and innovations.","Las Vegas Convention Center, USA"
Cannes Film Festival 2024,Marc Benioff,Music/Entertainment,"A global event focused on Literature trends, challenges, and innovations.","UN Headquarters, New York, USA"
Formula 1 Grand Prix 2024,Satya Nadella,Environmental/Sustainability,"A global event focused on Economic trends, challenges, and innovations.","Marina Bay Sands, Singapore"
Machine Learning Summit 2024,Sundar Pichai,Gaming/Entertainment,"A global event focused on AI trends, challenges, and innovations.","Olympia, London, UK"
Mobile World Congress 2024,Reed Hastings,Startup/Technology,"A global event focused on AI trends, challenges, and innovations.","Paris Las Vegas, USA"
Tokyo Game Show 2024,Tim Berners-Lee,AI/Technology,"A global event focused on AI trends, challenges, and innovations.","Tokyo Big Sight, Japan"
TEDx 2024,Larry Page,Literature/Global,"A global event focused on AI trends, challenges, and innovations.","Sydney Opera House, Australia"
Python Conference 2024,Sundar Pichai,Startup/Technology,"A global event focused on Health trends, challenges, and innovations.","Expo Center, Karachi, Pakistan"
Machine Learning Summit 2024,Jack Dorsey,AI/Technology,"A global event focused on Sports trends, challenges, and innovations.","Las Vegas Convention Center, USA"
European Space Agency Conference 2024,Elon Musk,Art/Culture,"A global event focused on Technology trends, challenges, and innovations.","Tokyo Big Sight, Japan"
CES Asia 2024,Sergey Brin,Gaming/Entertainment,"A global event focused on Music trends, challenges, and innovations.","Expo Center, Karachi, Pakistan"
Paris Fashion Week 2024,Dr. Tedros Adhanom,Fashion/Global,"A global event focused on Literature trends, challenges, and innovations.","Moscone Center, San Francisco, USA"
Formula 1 Grand Prix 2024,Ginni Rometty,Economic/Global,"A global event focused on Literature trends, challenges, and innovations.","ESA HQ, Paris, France"
Digital Health Summit 2024,Larry Page,Sports/Entertainment,"A global event focused on Economic trends, challenges, and innovations.","Davos, Switzerland"
Robotics Expo 2024,Meg Whitman,Startup/Technology,"A global event focused on Cybersecurity trends, challenges, and innovations.","Austin Convention Center, USA"
DreamHack 2024,Sergey Brin,Economic/Global,"A global event focused on Space trends, challenges, and innovations.","Dubai World Trade Centre, UAE"
Women in Tech 2024,Bruce Schneier,AI/Technology,"A global event focused on Technology trends, challenges, and innovations.","Fira Gran Via, Barcelona, Spain"
Adobe MAX 2024,Sergey Brin,Sports/Entertainment,"A global event focused on Sports trends, challenges, and innovations.","Las Vegas Convention Center, USA"
Mobile World Congress 2024,Susan Wojcicki,Health/Medical,"A global event focused on Sports trends, challenges, and innovations.","Olympia, London, UK"
Re:Mars 2024,Sundar Pichai,Economic/Global,"A global event focused on Art trends, challenges, and innovations.","Dubai World Trade Centre, UAE"
GITEX 2024,Sundar Pichai,Art/Culture,"A global event focused on Health trends, challenges, and innovations.","Circuit de Monaco, Monte Carlo"
Paris Fashion Week 2024,Ginni Rometty,Fintech/Technology,"A global event focused on Art trends, challenges, and innovations.","Davos, Switzerland"
Paris Fashion Week 2024,Marc Benioff,Art/Culture,"A global event focused on Cybersecurity trends, challenges, and innovations.","Expo Center, Karachi, Pakistan"
SaaStr Annual 2024,Meg Whitman,Film/Entertainment,"A global event focused on AI trends, challenges, and innovations.","Serena Hotel, Islamabad, Pakistan"
GitHub Universe 2024,Nat Friedman,AI/Technology,"A global event focused on Health trends, challenges, and innovations.","Las Vegas Convention Center, USA"
eCommerce Expo 2024,Sergey Brin,Environmental/Sustainability,"A global event focused on Technology trends, challenges, and innovations.","Tokyo Big Sight, Japan"
DreamHack 2024,Dr. Tedros Adhanom,Space/Technology,"A global event focused on Literature trends, challenges, and innovations.","Messe Basel, Switzerland"
Apple WWDC 2024,Bill Gates,AI/Technology,"A global event focused on Sports trends, challenges, and innovations.","Marina Bay Sands, Singapore"
Mobile World Congress 2024,Satya Nadella,Sports/Entertainment,"A global event focused on Art trends, challenges, and innovations.","Tokyo Big Sight, Japan"
Adobe MAX 2024,Meg Whitman,AI/Technology,"A global event focused on Economic trends, challenges, and innovations.","Las Vegas Convention Center, USA"
Adobe MAX 2024,Andy Jassy,Literature/Global,"A global event focused on Literature trends, challenges, and innovations.","Shoreline Amphitheatre, Mountain View, USA"
Microsoft Build 2024,Edward Snowden,Fintech/Technology,"A global event focused on Robotics trends, challenges, and innovations.","Shoreline Amphitheatre, Mountain View, USA"
Climate Change Summit 2024,Elon Musk,Literature/Global,"A global event focused on Cybersecurity trends, challenges, and innovations.","Sydney Opera House, Australia"
Re:Mars 2024,Bruce Schneier,Fashion/Global,"A global event focused on Film trends, challenges, and innovations.","ESA HQ, Paris, France"
Climate Change Summit 2024,Larry Page,Fintech/Technology,"A global event focused on Economic trends, challenges, and innovations.","Austin Convention Center, USA"
World Economic Forum 2024,Marissa Mayer,Literature/Global,"A global event focused on Gaming trends, challenges, and innovations.","ESA HQ, Paris, France"
World Robotics Championship 2024,Dr. Tedros Adhanom,Fashion/Global,"A global event focused on Startup trends, challenges, and innovations.","Dubai World Trade Centre, UAE"
London Book Fair 2024,Sundar Pichai,Space/Technology,"A global event focused on Space trends, challenges, and innovations.","Davos, Switzerland"
eCommerce Expo 2024,Nat Friedman,Fashion/Global,"A global event focused on Film trends, challenges, and innovations.","ESA HQ, Paris, France"
Blockchain Expo 2024,Bruce Schneier,Environmental/Sustainability,"A global event focused on Gaming trends, challenges, and innovations.","The Venetian, Las Vegas, USA"
TEDx 2024,Jack Dorsey,Cybersecurity/Hacking,"A global event focused on Art trends, challenges, and innovations.","Las Vegas Convention Center, USA"
Climate Change Summit 2024,Marc Benioff,Cybersecurity/Hacking,"A global event focused on Startup trends, challenges, and innovations.","Sydney Opera House, Australia"
GitHub Universe 2024,Sundar Pichai,Technology/Innovation,"A global event focused on Art trends, challenges, and innovations.","Palais Brongniart, Paris, France"
The Next Web 2024,Tim Berners-Lee,Gaming/Entertainment,"A global event focused on Startup trends, challenges, and innovations.","Davos, Switzerland"
Formula 1 Grand Prix 2024,Sheryl Sandberg,Health/Medical,"A global event focused on Startup trends, challenges, and innovations.","The Venetian, Las Vegas, USA"
Climate Change Summit 2024,Jack Dorsey,Literature/Global,"A global event focused on Sports trends, challenges, and innovations.","Austin Convention Center, USA"
Fintech Asia 2024,Bill Gates,Gaming/Entertainment,"A global event focused on Space trends, challenges, and innovations.","Las Vegas Convention Center, USA"
Tokyo Game Show 2024,Greta Thunberg,AI/Technology,"A global event focused on Fintech trends, challenges, and innovations.","Paris Las Vegas, USA"
DjangoCon 2024,Jehan Ara,Art/Culture,"A global event focused on Fintech trends, challenges, and innovations.","ESA HQ, Paris, France"
TechCrunch Disrupt 2024,Bill Gates,AI/Technology,"A global event focused on Film trends, challenges, and innovations.","The Venetian, Las Vegas, USA"
SXSW 2024,Satya Nadella,AI/Technology,"A global event focused on Startup trends, challenges, and innovations.","Paris Las Vegas, USA"
Tokyo Game Show 2024,Sheryl Sandberg,Cybersecurity/Hacking,"A global event focused on Environmental trends, challenges, and innovations.","Shoreline Amphitheatre, Mountain View, USA"
Tokyo Game Show 2024,Mark Zuckerberg,Sports/Entertainment,"A global event focused on Fashion trends, challenges, and innovations.","Austin Convention Center, USA"
Black Hat 2024,Jack Dorsey,Fashion/Global,"A global event focused on Literature trends, challenges, and innovations.","UN Headquarters, New York, USA"
Digital Transformation Week 2024,Sheryl Sandberg,Environmental/Sustainability,"A global event focused on Startup trends, challenges, and innovations.","Las Vegas Convention Center, USA"
Digital Health Summit 2024,Sergey Brin,Art/Culture,"A global event focused on Startup trends, challenges, and innovations.","Expo Center, Lahore, Pakistan"
TechEd Europe 2024,Bruce Schneier,Economic/Global,"A global event focused on Cybersecurity trends, challenges, and innovations.","Expo Center, Lahore, Pakistan"
